what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395457419547
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395457422979
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395457425443
opened,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395457426988
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395457427081
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395457442338
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395457447174
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395457459608
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395457465894
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395457477080
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395457606193
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395457632323
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395457651776
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1395457675550
opened,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1395457675675
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1395457675738
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1395457677953
opened,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1395457678093
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1395457678156
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1395457681791
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395457681962
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395457682727
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395457876853
executed,command,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui.toggle.comment",1395457918721
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1395457921080
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1395457921181
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1395457921324
executed,command,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui.toggle.comment",1395457925213
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1395457926991
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1395457932420
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395457933443
