what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1397464437177
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464447333
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464448059
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1397464461211
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1397464461305
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1397464466955
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464467988
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464479064
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464480667
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464483751
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1397464492203
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397464494486
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397464496070
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464552556
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464553716
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464555460
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464557594
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1397464558863
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1397464590728
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397464591782
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464620750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464623783
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464625188
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464626308
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464627363
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464631101
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1397464634028
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464642563
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464661083
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1397464685939
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464686781
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464701394
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1397464711714
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1397464713858
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1397464720715
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1397464721663
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464723541
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464725142
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464728059
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464734932
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464735996
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464764790
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397464767065
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464767683
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464774243
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464777395
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464812052
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464813291
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464832414
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1397464835090
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464836019
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397464853885
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1397464855186
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1397464855786
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1397464855834
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1397464855860
