what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397462602166
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397462613046
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397462614058
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1397462618096
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462619168
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462626810
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1397462628766
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462634116
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462655636
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462661929
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462678270
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462681462
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462693734
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397462695078
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1397462696714
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462697811
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462714045
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1397462717452
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462718328
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462722353
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1397462723905
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1397462727705
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1397462729527
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1397462730299
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462731197
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462733594
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462736817
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462748964
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397462751499
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397462752089
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397462753690
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397462756486
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462766001
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462767031
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462769496
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462771107
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462792736
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462798899
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397462800811
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1397462805447
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462806404
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462819619
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397462822007
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462835236
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462835399
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462835549
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462835688
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462835832
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462835980
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462836132
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462836291
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462836456
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462836614
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462836777
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462836937
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462837095
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462837260
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462837445
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462837610
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462837783
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462837934
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462838093
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462838263
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462838419
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462838553
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462838749
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462838924
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462839116
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462839296
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462839444
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462839888
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462842929
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397462844681
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1397462846384
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1397462849257
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462850147
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462867032
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462868840
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462881728
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397462882821
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462944964
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462945127
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462945267
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1397462945403
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462945664
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397462949472
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397462950374
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1397462952044
