what,kind,bundleId,bundleVersion,description,time
java.vm.version,sysinfo,,,"20.14-b01",1397459005027
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397459005118
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1397459006247
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql.h2",1397459007149
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397459008228
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397459011088
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1397459015288
closed,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397459015288
closed,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1397459015352
error,log,,,"The project description file (.project) for 'thinksns' is missing.  This file contains important information about the project.  The project will not function properly until this file is restored.",1397459016763
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397459016981
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397459019792
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397459026311
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397459029926
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1397459030273
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1397459030426
started,bundle,org.eclipse.dltk.validators.core,1.0.0.v20100524-0038,"org.eclipse.dltk.validators.core",1397459030448
started,bundle,org.eclipse.wst.dtd.core,1.1.400.v201004290328,"org.eclipse.wst.dtd.core",1397459030520
started,bundle,org.eclipse.wst.xsd.core,1.1.502.v201008201521,"org.eclipse.wst.xsd.core",1397459030547
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1397459030574
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1397459031632
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397459032221
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1397459032373
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1397459033256
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1397459033685
started,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1397459038386
error,log,,,"The project description file (.project) for 'thinksns' is missing.  This file contains important information about the project.  The project will not function properly until this file is restored.",1397459038733
started,bundle,org.eclipse.wst.common.emf,1.2.1.v201008260500,"org.eclipse.wst.common.emf",1397459039984
started,bundle,org.eclipse.jem.util,2.1.2.v201008120100,"org.eclipse.jem.util",1397459039989
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.2.v201008242000,"org.eclipse.wst.common.emfworkbench.integration",1397459039992
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1397459040182
started,bundle,org.eclipse.wst.common.modulecore,1.2.3.v201008242000,"org.eclipse.wst.common.modulecore",1397459040198
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397459041562
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1397459043604
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1397459043605
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1397459047311
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397459047362
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397459049289
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1397459049301
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1397459049301
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397459050826
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397459065627
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397459068844
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397459070665
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397459070971
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397459392146
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397459403460
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397459521046
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397459534631
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397459569299
opened,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397459580742
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397459580828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397459670719
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397459672812
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1397459673912
opened,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397459684253
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397459684334
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397459969039
closed,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397459969039
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1397459973129
opened,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397459973286
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397459973343
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397459988043
closed,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397459988043
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1397459990733
opened,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397459991768
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397459991850
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397460073896
closed,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397460073896
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460074556
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460075260
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1397460077536
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460081492
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460102543
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460107062
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460108932
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460114612
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460115473
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460121414
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460124339
opened,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397460128899
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397460128959
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460154059
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460158308
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460191483
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460196324
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460284667
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460287868
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1397460289832
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460300460
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460309252
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460340949
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460361296
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460368106
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460383041
opened,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397460396635
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397460396729
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397460404285
closed,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397460404285
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460405371
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460425179
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1397460426139
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460452234
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460453581
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460462531
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460470793
opened,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397460477220
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397460477301
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397460490767
closed,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397460490767
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460491729
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460582571
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460583616
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460602522
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460603526
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460609014
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1397460610361
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460615666
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460621215
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460625026
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460626092
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460629057
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460630459
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460651099
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460676612
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460678497
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460702667
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460710881
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460723745
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460743477
opened,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397460753378
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1397460753433
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1397460755116
started,bundle,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui",1397460755150
started,bundle,org.eclipse.php.server.ui,2.2.0.v20100505-0800,"org.eclipse.php.server.ui",1397460755191
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460760640
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460779883
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1397460781997
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460784985
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460789378
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460794665
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460797801
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460801974
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460854600
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460856473
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460944752
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397460952606
