what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395477346908
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395477347022
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395477362752
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1395477381437
opened,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395477413157
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395477413230
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395477433320
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395477440352
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1395477458068
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395477458202
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395477460060
closed,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395477460060
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1395477461110
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395477461887
closed,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1395477461887
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1395477462664
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395477463577
closed,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1395477463577
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1395477464647
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395477465848
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395477516954
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395477520421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395477520427
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1395477525688
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1395477577420
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395477581360
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395477613991
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1395477616638
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1395477618722
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1395477622171
opened,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1395477624564
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1395477624630
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395477630958
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1395477630979
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1395477631125
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395477633484
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1395477657036
opened,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1395477690873
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1395477690939
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395477695825
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1395477695846
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1395477696015
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395477699619
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1395477706407
opened,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1395477706536
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1395477706606
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395477709023
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1395477709043
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1395477709244
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395477712468
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395477718832
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395477729142
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395477730553
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1395477730574
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1395477730733
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395477732811
closed,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1395477736077
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1395477737157
closed,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1395477737158
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1395477738191
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1395477740321
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1395477750291
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395477752511
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1395477762826
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395477768373
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395477775346
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395477776726
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1395477777222
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395477785310
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395477801958
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1395477804953
opened,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1395477805122
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1395477805190
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395477828766
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395477876904
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395477879230
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395477880643
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1395477903124
opened,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1395477922848
