what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395472577550
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395472640586
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1395472641799
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395472646479
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1395472677600
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395472685925
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1395472715234
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395472717549
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1395472725975
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1395472730733
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1395472732033
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1395472732870
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395472734421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395472885179
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1395472913507
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1395472932023
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1395472954210
opened,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395472982180
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395472982260
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473025422
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473109372
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395473120185
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1395473132262
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473141975
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473196359
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1395473198449
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473200779
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473203469
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1395473205519
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1395473209844
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473210386
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473232552
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473238952
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473240672
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473242012
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473284548
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1395473294220
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473295710
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473314080
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1395473315320
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1395473316060
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1395473317260
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473325620
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473326480
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473331660
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473338424
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1395473373402
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1395473376962
opened,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395473399842
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395473399932
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1395473450188
opened,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395473452926
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395473452990
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1395473461800
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473482330
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473485600
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473487200
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473490472
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395473492722
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395473493742
closed,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395473493742
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395473496604
closed,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395473496604
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473509324
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473543482
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1395473551082
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473552572
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473578910
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1395473587772
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473588714
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473599688
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473601418
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473616622
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1395473623424
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473624444
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473642646
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1395473651648
opened,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395473656968
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395473657038
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1395473664902
opened,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395473665194
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395473665284
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1395473680176
opened,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395473680349
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395473680429
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1395473687811
opened,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395473689443
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395473689513
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1395473710185
opened,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395473730757
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395473730837
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473736327
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1395473736347
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395473742637
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1395473762527
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395473778547
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1395473856808
opened,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395473856988
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1395473857058
